,SPY,DBC,GLD,QQQ,EFA,VNQ,TLT,IEF,EEM
2021-04-30,0.6255971935993191,0.16161844197372663,,,,0.21278436442695434,,,
2021-05-28,0.4976918662686421,0.23374868635540327,,,0.017373839314279178,0.20130399579827943,,,0.04988161226339596
2021-06-30,0.5490818378166221,0.1936535707057409,,0.08669998078185026,,0.024886282275731284,,,0.1456783284200556
2021-07-30,0.02450810842270926,,,0.6140064794259154,,0.24789321593739821,,,0.10825136365228205
2021-08-31,0.46772824737063834,,,,0.12177632919395927,0.2843607657386662,,,0.1261346576967363
2021-09-30,0.13003542154093797,0.24014247836534616,,0.061886548078979906,,0.301722567437707,,,0.266212984577029
2021-10-29,0.212646091140692,0.2535965569545577,,0.09368401818396407,0.06729609322000801,,0.3727772405007784,,
2021-11-30,0.6092324396589025,,,,0.235037745711068,,0.1557298146300294,,
2021-12-31,,0.14462397492578688,,0.017572800620087196,0.4857849548772123,,0.3520182695769136,,
2022-01-31,0.5672812978541033,0.21147934767818108,0.0861739922866216,,,,0.13506536218109408,,
2022-02-28,0.5835772210582187,0.23537085931864443,0.18105191962313685,,,,,,
2022-03-31,0.7168439302732382,,0.2831560697267617,,,,,,
2022-04-29,,,0.24375542544486842,,0.24969559667651461,0.030563145856597973,,0.475985832022019,
2022-05-31,0.18127203231759648,,0.17211910417829812,,,,,0.6466088635041053,
2022-06-30,0.3662783880054948,0.06541468559567178,0.09991343423504563,,,,,0.4683934921637878,
2022-07-29,0.11894314674490819,0.0694982649866264,,,0.12291705398156924,,,0.6886415342868961,
2022-08-31,,0.16001147315206582,,,,0.13277027756481566,,0.6978619617907292,
2022-09-30,,,0.15633085533997298,,,,,0.37780384683955126,0.4612287791727065
2022-10-31,0.17240814365467222,0.04147812331716709,,,0.025849765743772752,,,0.7602639672843878,
2022-11-30,,0.12666659008330794,0.08673956885138046,,,,,0.7328469712296876,0.053746869835624045
2022-12-30,,0.1521772266104561,0.03163533225550192,,,,,0.5310349051224876,0.28515253601155444
2023-01-31,0.3801438061826773,,0.16785793734262153,,,,,0.43507523611708254,0.01692302035761864
2023-02-28,0.3023409552546988,,,,0.09790355039593804,,,0.5997554943493633,
2023-03-31,0.2798193794557152,,,,0.1706699091030703,,,0.5384153312097245,0.011095380231489926
2023-04-28,0.04600585546439514,,,,0.18179539774027134,,,0.5467185695524556,0.22548017724287797
2023-05-31,0.46357586960979186,,0.06391904781950192,,0.0352327007646904,,,0.4364863170574404,
2023-06-30,0.6039321159982038,,0.30421870679708407,,,0.09184917720471211,,,
2023-07-31,0.9044074217161084,,0.09559257828389157,,,,,,
2023-08-31,0.48945052218038143,,0.4200190131084153,,,,,0.09053046471120343,
2023-09-29,0.25130598463612663,0.3342271583914323,0.414466856972441,,,,,,
2023-10-31,0.04275941033264622,0.12464362870662858,0.1185395838082879,,0.40554016640751767,,,0.3085172107449196,
2023-11-30,0.6537389923456853,,0.3096755181059628,,,,,0.036585489548351884,
2023-12-29,0.9212472532924162,,0.01940320308997065,,0.05934954361761306,,,,
2024-01-31,0.41823922294932125,0.3075004728187262,,,0.17248614711341656,0.10177415711853598,,,
2024-02-29,0.5652708136845359,0.16480321501016276,,,0.2699259713053015,,,,
2024-03-28,0.7001382579877891,0.10672893769916902,0.08771559102724702,,0.10541721328579491,,,,
2024-04-30,0.65986764497886,0.30379607276845355,0.012868247636327778,,0.023468034616358723,,,,
2024-05-31,0.7956540748440767,,0.036394362887744,,0.012065161540665956,,,,0.15588640072751342
2024-06-28,0.6269021154207757,,,,,0.20204847906150294,,,0.17104940551772135
2024-07-31,0.9047710947870502,,,,,,,,0.09522890521294969
2024-08-30,0.267541244829513,,0.2577002538937419,,0.3516510245904857,0.12310747668625943,,,
2024-09-30,0.70032882008559,,0.1514015094151446,,0.01999307455138641,0.12827659594787902,,,
2024-10-31,0.6242157035635447,,0.21070485476648917,,0.16507944166996613,,,,
2024-11-29,0.5022358560006243,,0.06412063096021715,,,,,0.4336435130391585,
2024-12-31,0.2593603832920274,,,,,,,0.6132689327909147,0.12737068391705803
2025-01-31,0.7511661003825469,,0.22630872311447872,,0.022525176502974354,,,,
2025-02-28,0.054106613579864404,,0.055241292747166125,,,,,0.8906520936729694,
2025-03-31,0.02906423729635091,,,,,,,0.7433349965001004,0.2276007662035486
2025-04-30,0.13922144512765597,,0.1427130458689155,,,,,0.7180655090034286,
2025-05-30,,,,0.2955974135849737,,,,0.526407138924918,0.1779954474901083
2025-06-30,0.8022383916674442,0.07308043150128275,0.04518617197702637,,,,,,0.0794950048542467
2025-07-31,0.6733086645014339,0.11507135420786681,0.12960954843368191,,,,,,0.08201043285701745
2025-08-29,0.5015798453843378,0.24882345825683663,0.16936753288291032,,0.08022916347591531,,,,
2025-09-30,0.3410609143022101,,0.0363905841158625,,,,,0.5930943649451988,0.02945413663672864
2025-10-31,0.32271914250677014,,,,,,,0.646592358022093,0.029595231740328062
2025-11-28,0.7277622116347894,0.10503872484102271,0.01852692572104881,,,,,,0.148672137803139
2025-12-30,0.18641694168772024,,0.042515213559857844,,,,,0.6964510814595526,0.07461676329286934
