,SPY,EEM,DBC,GLD,IEF,TLT,VNQ,QQQ,EFA
2021-08-31,0.6885293872843825,,,,,0.3114706127156176,,,
2021-09-30,,,0.3859936605293733,,,,0.368185121982077,0.24582121748854963,
2021-10-29,0.4625371488733456,,0.33395948186434576,,,,,0.20350336926230858,
2021-11-30,,,0.19387076975007056,,,0.4450700011464433,,0.36105922910348615,
2021-12-31,0.8787877329250581,,,,,,0.12121226707494193,,
2022-01-31,,,0.2825065266519057,,0.7174934733480943,,,,
2022-02-28,,,0.02586334066658835,0.21954947992642748,0.7545871794069842,,,,
2022-03-31,0.43173183807254323,,,0.5682681619274568,,,,,
2022-04-29,,,,0.8244832613031857,,,0.1755167386968142,,
2022-05-31,,,0.4012121801434402,,,,,,0.5987878198565598
2022-06-30,,,0.23962725915969968,0.03372779806191004,0.7266449427783903,,,,
2022-07-29,0.22804995563915928,,,,0.7623007004573225,,,,
2022-08-31,,,,,1.0,,,,
2022-09-30,0.07699664678557164,,,0.9230033532144284,,,,,
2022-10-31,,,0.29152911874965604,0.7032557632430793,,,,,
2022-11-30,0.26504426835276346,,,0.7349557316472366,,,,,
2022-12-30,,0.4129317417442185,,0.4557790906095479,,,,,0.13128916764623363
2023-01-31,,,,0.5669560396309763,,,,,0.43197764348770196
2023-02-28,,,,0.3853954932036246,,,,,0.6146045067963753
2023-03-31,,,,0.4464286224122354,,,,0.21034096196079813,0.34323041562696643
2023-04-28,0.5150645777902436,,,,,,,,0.48493542220975644
2023-05-31,0.5718177473954483,,,0.4281822526045518,,,,,
2023-06-30,1.0,,,,,,,,
2023-07-31,1.0,,,,,,,,
2023-08-31,0.6373009716382763,,0.36269902836172374,,,,,,
2023-09-29,0.5955614052123112,,0.40443859478768873,,,,,,
2023-10-31,,,0.28844819173295255,,0.7115518082670474,,,,
2023-11-30,0.565662291651727,,,0.43433770834827307,,,,,
2023-12-29,,,,,,0.2752491996424218,,0.7247508003575782,
2024-01-31,,,,,,0.527255494718893,0.17067181879066928,0.3020726864904377,
2024-02-29,0.5734710253840506,,,,,,,,0.4265289746159494
2024-03-28,0.8909833130982749,,,0.10901668690172504,,,,,
2024-04-30,,0.29548185398332527,0.7045181460166748,,,,,,
2024-05-31,,,0.42099070668170174,,,,,,0.5790092933182983
2024-06-28,0.8553916727255957,0.14460832727440426,,,,,,,
2024-07-31,1.0,,,,,,,,
2024-08-30,,,,0.5161161423471168,,,0.4838838576528832,,
2024-09-30,,,,0.26465457178331087,,0.3152533837119074,0.4200920445047816,,
2024-10-31,0.7621725190062854,,,0.23782748099371465,,,,,
2024-11-29,0.8852884463663204,,,0.11471155363367944,,,,,
2024-12-31,0.8173274454063524,,,0.1826725545936476,,,,,
2025-01-31,0.7475302646886699,,0.2524697353113302,,,,,,
2025-02-28,,,0.48440043683723333,0.04112242687453126,,,,,0.4744771362882354
2025-03-31,,,0.6549837406992173,0.27074346130799587,,,,,0.07427279799278691
2025-04-30,,,,0.10736942085984501,0.8833982944771323,,,,
2025-05-30,,0.25175292768725765,,0.10889327432740047,,,,,0.6393537979853418
2025-06-30,,,,,,,,0.4921783055852924,0.5078216944147076
2025-07-31,0.6286830483380045,0.09587400413351538,,,,,,0.2754429475284801,
2025-08-29,0.8636267439420886,0.13637325605791134,,,,,,,
2025-09-30,,0.3270859049965943,,0.16768524148641736,,,,0.5052288535169884,
2025-10-31,,,,0.21401826731866813,,,,0.7859817326813319,
2025-11-28,,0.9552835607209639,,0.044716439279036006,,,,,
2025-12-30,,,0.23750122344281327,0.011153814935350696,,,,,0.751344961621836
