,SPY,DBC,GLD,QQQ,EFA,VNQ,IEF,EEM,TLT
2020-01-31,0.17251776519754514,,0.23094093225572807,,0.30449140836409105,0.1161070598995831,,,0.17594283428305274
2020-02-28,0.0348929178714411,,0.046880241723533146,,,,0.8639513172359284,0.054275523169097346,
2020-03-31,,,,0.11646092556063778,,,0.8835390744393622,,
2020-04-30,,,0.016522959628206983,,,,0.9355768059247587,0.04156965819649088,
2020-05-29,0.03652275491152702,,,,,,0.9634772450884731,,
2020-06-30,0.11366070471473025,,,,,,0.8863392952852698,,
2020-07-31,0.048878364957204705,,0.02183104037710291,,,,0.9285755056442638,,
2020-08-31,0.10683080771025387,,,,,,0.8931691922897462,,
2020-09-30,0.31801095267472396,0.15268755243165133,,,0.23043607359832527,,,0.2988654212952993,
2020-10-30,0.12068536867540051,0.01109481818795907,0.3410658616378034,,,,,0.527153951498837,
2020-11-30,0.29027041868136483,0.4164321439052581,0.22695889361374694,,,,,0.06633854379963001,
2020-12-31,0.3914620329048957,0.28440349946592913,,0.13385111282050557,0.1902833548086696,,,,
2021-01-29,,0.30702722034932406,,0.14642758700707068,0.4234094822617972,0.11642415807503931,,,
2021-02-26,0.11912449477569514,0.12010269224535983,,,0.5323726975538933,0.2284001154250518,,,
2021-03-31,0.13742837340849434,0.019385587745991084,,,0.8431860388455146,,,,
2021-04-30,0.6255971935993182,0.1616184419737268,,,,0.21278436442695497,,,
2021-05-28,0.49769186626864437,0.23374868635540325,,,0.017373839314277363,0.201303995798279,,0.04988161226339602,
2021-06-30,0.5490818378166239,0.19365357070574046,,0.08669998078184993,,0.02488628227573058,,0.14567832842005526,
2021-07-30,,0.10575654186212254,,,0.18319207773123408,,0.7110513804066433,,
2021-08-31,0.5085412871749477,,,,0.12547487975136393,0.09524117082809136,,,0.2671294155193507
2021-09-30,0.15407971418000865,,,,,,0.8459202858199913,,
2021-10-29,0.21264609114069136,0.25359655695455774,,0.0936840181839641,0.06729609322000835,,,,0.37277724050077854
2021-11-30,0.31103650365506536,,,,,0.030719512472796893,0.6582439838721377,,
2021-12-31,,0.14462397492578713,,0.017572800620086974,0.48578495487721196,,,,0.35201826957691384
2022-01-31,0.5935548149370842,0.22952336147088584,0.1323872282568754,,0.04453459533515477,,,,
2022-02-28,0.04211757189752215,0.031477576875249,0.03684285405635385,,,,0.8895619971708749,,
2022-03-31,0.7168439302732382,,0.2831560697267617,,,,,,
2022-04-29,,,0.24375542544486842,,0.24969559667651461,0.030563145856597973,0.475985832022019,,
2022-05-31,0.18127203231759656,,0.17211910417829807,,,,0.6466088635041053,,
2022-06-30,0.03172092031459584,0.17586188667046257,,,,,0.5317005962909511,0.26071659672399033,
2022-07-29,0.3334267667824189,0.05748755158162089,,,,,0.6090856816359602,,
2022-08-31,,0.16001147315206582,,,,0.13277027756481558,0.697861961790729,,
2022-09-30,0.027619244538234906,,0.05630916910748707,,,,0.916071586354278,,
2022-10-31,,0.13988332817290539,,0.21197814076199925,,,0.6481385310650954,,
2022-11-30,0.4331431382024542,,,,,,0.4348309077648699,0.13202595403267584,
2022-12-30,,0.1521772266104559,0.03163533225550198,,,,0.5310349051224876,0.28515253601155455,
2023-01-31,0.1736513140673694,0.1920983236763262,0.30516905052689286,,0.3189874984316888,,,0.010093813297722796,
2023-02-28,0.3023409552546981,,,,0.0979035503959382,,0.5997554943493637,,
2023-03-31,0.7522976484297138,,0.24770235157028625,,,,,,
2023-04-28,0.16442465852062915,,,,0.34385357557399215,,,0.2143128652956064,0.2746146167217531
2023-05-31,0.28410441842179457,,,,,,0.7144016769293592,,
2023-06-30,0.6996361026249219,,0.1289260732471301,,,,,0.04496636255430153,0.12647146157364644
2023-07-31,0.7942527389672563,0.0866981138247088,0.11904914720803472,,,,,,
2023-08-31,0.4135799624825966,0.14745400343525034,0.3532356799550007,,,,0.08573035412715238,,
2023-09-29,0.253221908107371,0.23975679825282945,,,,,0.5070212936397995,,
2023-10-31,,,0.3409257677737547,,0.6590742322262453,,,,
2023-11-30,0.712248142891251,,0.25091053736349384,,0.036841319745255105,,,,
2023-12-29,0.9212472532924165,,0.019403203089970518,,0.05934954361761293,,,,
2024-01-31,0.5727103207331019,,0.07400638265322412,,,,0.35328329661367397,,
2024-02-29,0.4415866879818956,,0.5017946645858313,,0.05661864743227307,,,,
2024-03-28,0.808687000105688,,0.13527940783052295,,0.04219050085562491,,,0.013843091208164125,
2024-04-30,0.878306843344993,,0.07284818933151269,,0.04409862065061457,,,,
2024-05-31,0.7956540748440771,,0.03639436288774391,,0.012065161540665817,,,0.15588640072751309,
2024-06-28,0.8417015282694119,,0.02547919955102958,,,,,0.13281927217955844,
2024-07-31,0.90477109478705,,,,,,,0.09522890521295005,
2024-08-30,0.26754124482950936,,0.2577002538937422,,0.3516510245904876,0.12310747668626097,,,
2024-09-30,0.7142703488745241,,0.08422576081368412,,,,,,0.20150389031179178
2024-10-31,0.6372215687813934,,0.04528481148445755,,,,,0.05507711973668763,0.2624164999974616
2024-11-29,0.33210666160704405,,0.027999657686255137,,,,0.6398936807067009,,
2024-12-31,0.2593603832920268,,,,,,0.613268932790915,0.12737068391705816,
2025-01-31,0.5648788403218746,0.1978394709128709,0.11223656020075644,,0.12504512856449818,,,,
2025-02-28,0.602474367928446,0.11703758587364997,0.04879723797795092,,,0.08957491495744184,,0.1421158932625112,
2025-03-31,,0.17523500275507572,,0.103514240017941,0.09133985814391457,,0.6299108990830686,,
2025-04-30,,0.14573652391746908,,,,,0.7460779578565465,0.10818551822598445,
2025-05-30,,0.15134014952990227,,,,,0.6454548476586747,0.20320500281142306,
2025-06-30,,0.15306229944148855,,0.22216671974039565,0.08791171716943484,,0.536859263648681,,
2025-07-31,0.31921175188420586,,,0.04352828651619279,,,0.4999713140617849,0.13279483811312756,
2025-08-29,0.2211744386294583,,,,,,0.7788255613705416,,
2025-09-30,0.57380545792289,,0.13911017846268492,,,0.09548881228548925,,0.191595551328936,
2025-10-31,0.3986387791331598,0.16266580042940854,0.0304108670023372,,0.40828455343509445,,,,
2025-11-28,0.2914807674701966,0.14685396735271677,0.011499446664412482,,,,,0.1929712573303159,0.3571945611823582
2025-12-30,0.7207587725439075,0.06435105313706167,,,0.15880869353316832,,,0.047147458334387916,
