,SPY,DBC,QQQ,EEM,VNQ,IEF,GLD,TLT,EFA
2021-08-31,,0.07947549503857033,0.2860899802008749,,0.6344345247605548,,,,
2021-09-30,0.28674797996089535,0.3669996307869944,,,0.3462523892521102,,,,
2021-10-29,0.5111282577385646,0.19058249390027474,,,0.29828924836116055,,,,
2021-11-30,0.9148697316443304,,,,0.08513026835566956,,,,
2021-12-31,,0.5661173398932198,,,0.4338826601067802,,,,
2022-01-31,,0.6969451763509585,,,0.30305482364904146,,,,
2022-02-28,0.6322425344935041,0.36775746550649596,,,,,,,
2022-03-31,,,,,0.4753230024689158,,0.5246769975310842,,
2022-04-29,,,,,0.1755167386968142,,0.8244832613031857,,
2022-05-31,,0.035193880833911326,,,0.07755402498286704,,0.8872520941832216,,
2022-06-30,,0.1978003726555843,,,0.09621281057587872,,0.705986816768537,,
2022-07-29,,0.13351734980936295,,,,0.8664826501906372,,,
2022-08-31,,0.2122362848475659,,,0.20341099606337693,,0.5843527190890572,,
2022-09-30,,,,,,0.6913325044222317,0.3086674955777683,,
2022-10-31,,0.29152911874965587,,,,,0.7032557632430797,,
2022-11-30,0.43587921746287567,0.5641207825371243,,,,,,,
2022-12-30,,0.19263644789573758,,,,0.7518171731940972,0.055546378910165194,,
2023-01-31,,,,,,,0.5669560396309757,,0.4319776434877024
2023-02-28,0.14745388300393567,,,,,,0.45715849311311624,,0.395387623882948
2023-03-31,,,0.2103409619607981,,,,0.4464286224122354,,0.34323041562696655
2023-04-28,,,0.05600643704803023,,,,0.3494878587858998,,0.59450570416607
2023-05-31,,,0.33702833951537137,,,,0.5299666672088766,,0.13300499327575196
2023-06-30,1.0,,,,,,,,
2023-07-31,,,0.36355636939401254,,,,,,0.6364436306059874
2023-08-31,0.5095091140975855,,,,,,0.4904908859024147,,
2023-09-29,0.8618154482397422,,,,,,,,0.13818455176025782
2023-10-31,0.6771833028941848,,,,,,0.32281669710581523,,
2023-11-30,0.5656622916517269,,,,,,0.4343377083482731,,
2023-12-29,1.0,,,,,,,,
2024-01-31,1.0,,,,,,,,
2024-02-29,0.5734710253840506,,,,,,,,0.4265289746159494
2024-03-28,0.8909833130982749,,,,,,0.109016686901725,,
2024-04-30,0.90863572895025,,,,,,0.09136427104975002,,
2024-05-31,0.9353154435038604,,,,,,0.06468455649613952,,
2024-06-28,0.9272739601067882,,,,,,0.07272603989321179,,
2024-07-31,1.0,,,,,,,,
2024-08-30,0.8012525050154311,,,,,,0.19874749498456887,,
2024-09-30,0.8648960409814929,,,,,,0.13510395901850714,,
2024-10-31,0.46422231937878367,,,0.22711574435650989,,,0.30866193626470634,,
2024-11-29,0.5715262219615437,,,,0.2573878123149763,,0.17108596572348,,
2024-12-31,0.8173274454063524,,,,,,0.1826725545936476,,
2025-01-31,0.7165942036423173,,,,,,0.2834057963576827,,
2025-02-28,0.14238738155737984,,,,0.5791374665636628,,0.2784751518789573,,
2025-03-31,,,,,0.25321611994369886,,0.6713235870100785,,0.07546029304622269
2025-04-30,,,,0.45729238685565643,,,0.5427076131443436,,
2025-05-30,,,0.4935169988993953,,,,0.34033767777779866,,0.16614532332280604
2025-06-30,,,0.47040506323859843,,,,0.32613084626476707,,0.20346409049663464
2025-07-31,,,0.6988740558292001,,,,0.2791454529438471,,0.021980491226952833
2025-08-29,,,,0.12070328033139457,,,0.4472867698206594,,0.432009949847946
2025-09-30,,,,0.36641316381229616,,,0.21456806913525472,,0.41901876705244906
2025-10-31,,,,,,,,,0.9992577547105345
2025-11-28,,,,0.955283560720964,,,0.044716439279036,,
2025-12-30,,,0.015455687040717463,0.8118384855496843,,,0.17270582740959825,,
