,SPY,DBC,GLD,QQQ,EFA,IEF,VNQ,EEM,TLT
2024-01-31,0.44893587222291886,,,,,0.551064127777081,,,
2024-02-29,0.6076286508411666,,,,0.3469471836693294,,,,0.045424165489503926
2024-03-28,0.570097793037666,0.18245001424002544,0.03598380674440298,,0.2114683859779057,,,,
2024-04-30,0.6598676449788605,0.3037960727684537,0.012868247636327858,,0.023468034616358026,,,,
2024-05-31,0.7012250359713732,0.17548937813967483,,,,,,0.1232855858889519,
2024-06-28,0.42716997774956733,0.0769310707265676,,,,0.3624483557875812,,0.1334505957362838,
2024-07-31,0.8970719697435161,,,,,,,,0.09916419072772685
2024-08-30,0.2529195693040502,,,,,0.7470804306959499,,,
2024-09-30,,,,,0.11531037513184135,0.8846896248681587,,,
2024-10-31,0.6242157035635444,,0.21070485476648948,,0.16507944166996597,,,,
2024-11-29,0.8154442118902844,0.12724641714007434,0.013916313082386946,,,,,0.04339305788725438,
2024-12-31,0.28640713365970166,0.1807093570446653,,,,0.532883509295633,,,
2025-01-31,0.1289022187314978,0.18418850691525898,0.041929225250649946,,,0.6449800491025932,,,
2025-02-28,,0.01741380320568604,0.0522307813257877,,,0.9281757978840659,,,
2025-03-31,,0.04403944851435336,,,,0.8475141044496787,,0.10844644703596788,
2025-04-30,,,0.03033265053927166,,,0.8598975167486665,0.022627593330123708,0.08714223938193828,
2025-05-30,,,,0.2955974135849737,,0.526407138924918,,0.17799544749010837,
2025-06-30,0.6923902251814246,,0.03672904163019915,,,0.2550471321996476,,0.015833600988728762,
2025-07-31,0.6733086645014342,0.11507135420786668,0.12960954843368183,,,,,0.08201043285701744,
2025-08-29,0.4293347168848633,0.3120809921500575,,,0.21196214220239556,,0.028153667769978925,0.018468480992704567,
2025-09-30,0.6412187906772452,,0.10515298571129764,,,,,0.13912811769429398,0.11450010591716306
2025-10-31,0.39863877913315715,0.16266580042940934,0.030410867002337284,,0.4082845534350963,,,,
2025-11-28,0.4221806031189832,,0.015230573866275412,,,,,0.2800165780546731,0.28257224496006833
2025-12-30,0.7207587725439067,0.06435105313706246,,,0.15880869353316715,,,0.04714745833438889,
