,QQQ,SPY,EFA,DBC,GLD,IEF,TLT,VNQ,EEM
2020-04-30,0.012678781170363565,0.010760928361851357,,,0.02366444369701986,0.9528958467707652,,,
2020-05-29,,0.01916769877992747,,,,0.9808323012200726,,,
2020-06-30,0.47782675253464296,,0.4939579679850994,,,,,,0.02821527948025765
2020-07-31,,0.5084460095747243,,,0.4915539904252758,,,,
2020-08-31,,0.7592535108796746,,0.24074648912032548,,,,,
2020-09-30,,0.33833035716691784,,0.06484723020580999,0.4571878095758263,,,,0.1396346030514457
2020-10-30,,0.16037557424117047,0.053763543386760405,,,0.7820808112001689,,,
2020-11-30,,0.2568389489023524,,0.5838646676332853,,,,0.030807729958934302,0.12848865350542804
2020-12-31,0.16531770031561813,0.2880834480188337,0.2052717121896022,0.34132713947594584,,,,,
2021-01-29,0.1547168525673264,0.1302645094862393,0.39097100303215476,0.3240476349142795,,,,,
2021-02-26,,0.3511532659511705,0.45721954137929927,0.19162719266953024,,,,,
2021-03-31,,,0.9556533552315222,0.03067892265316594,,,,0.013667722115311979,
2021-04-30,,0.6264055192469489,,0.1524313574646141,,,,0.221163123288437,
2021-05-28,,0.19840993190072947,,0.16692657929639068,0.555249694784444,,,0.07941379401843579,
2021-06-30,,0.566333424732367,,,,,0.3319960726848575,0.10167050258277549,
2021-07-30,0.1757828776610377,0.01729005644238703,,0.22290103067742692,,,0.47456534380543564,0.10946069141371269,
2021-08-31,0.0221233805721907,,,,,0.9772252811985486,,,
2021-09-30,0.06400570243159197,,,,,0.9359942975684079,,,
2021-10-29,0.2987338728864142,,0.29578492930793543,0.15420511699663852,,,,0.25127608080901187,
2021-11-30,,0.3483546802471667,,,,0.6516453197528334,,,
2021-12-31,,0.24843584621402212,0.14524682691331858,,0.6063173268726593,,,,
2022-01-31,,0.11233517107011114,,0.20953979788965424,,0.6781250310402347,,,
2022-02-28,,,0.22336011340170692,0.24883750058782292,0.10941869603268323,0.3973449347050738,,,0.021038755272713174
2022-03-31,,0.23075931017143303,,,0.2554649721178535,0.5137757177107135,,,
2022-04-29,,0.060131810787034404,,,0.36526970054300434,0.5400185524275101,,0.03457993624245115,
2022-05-31,,0.25027566226136994,,,0.74972433773863,,,,
2022-06-30,,,,0.01699300890026499,0.14421905794537979,0.8387879331543552,,,
2022-07-29,0.0717481497495714,,0.04011164800818514,,,0.8881402022422434,,,
2022-08-31,,0.4319901890144646,,,,0.5680098109855353,,,
2022-09-30,,0.46061387908711704,,,0.16276082941554584,0.37662529149733714,,,
2022-10-31,,0.12292824727679108,,0.1599037242507602,,0.7171680284724488,,,
2022-11-30,,0.23190750450530456,,0.23042223603129533,0.5376702594634001,,,,
2022-12-30,,0.058497030053302666,,,0.3990151399972739,,,0.21089014934746084,0.33159768060196265
2023-01-31,,,0.3360446094881067,,0.4703504224435385,,0.1472216182664328,,0.04638334980192182
2023-02-28,,,0.5239243974552299,,0.2610411468185733,,,0.2150344557261968,
2023-03-31,,0.5949196565072403,0.044958214912620996,,0.19876654462973964,,0.16135558395039892,,
2023-04-28,,0.12612508197085498,0.282937783089369,,,0.5891030522893256,,,
2023-05-31,,0.2573084249886784,,,,0.7426915750113217,,,
2023-06-30,,0.9907127915020494,,,,,,,
2023-07-31,,0.9303515761537261,,0.06964842384627386,,,,,
2023-08-31,,0.7182629229480627,,0.2767740699130964,,,,,
2023-09-29,,0.10948564778592056,,0.2711229124836626,0.0724978731087931,0.5468935666216236,,,
2023-10-31,,0.46528866924436485,,0.16874925152517284,,0.36596207923046237,,,
2023-11-30,,0.7191325261886965,0.028969711387634448,,0.251897762423669,,,,
2023-12-29,0.28493616695721363,,0.5064705421002313,,,,0.20859329094255505,,
2024-01-31,,0.8312678249528369,0.04850051774148217,,,,0.12023165730568099,,
2024-02-29,,0.6037227230751021,0.3962772769248979,,,,,,
2024-03-28,,0.6204946223511668,0.17669247812846042,0.17699878580114273,0.025814113719230005,,,,
2024-04-30,,,0.402096013645314,0.580072661720267,0.017828478409402222,,,,
2024-05-31,,0.629436561880556,0.0772123939720779,0.23232588325259987,,,,,0.061025160894766194
2024-06-28,,0.524663770208385,,,,0.3179175651398845,,,0.15741866465173057
2024-07-31,,0.8994394077640363,,,,,0.10056059223596366,,
2024-08-30,,0.7838755919678007,,,0.02760719428668413,,0.1885172137455151,,
2024-09-30,,,0.181301249107683,,0.17056328292406356,,0.30465084495214967,0.3434846230161039,
2024-10-31,,0.7243683780816389,,,0.1954567662760884,,,,0.08017485564227268
2024-11-29,,0.8228141173363285,,0.15437509444590333,0.01572433894012468,,,,
2024-12-31,,0.06013320901608116,,0.21355945712925564,,0.7263073338546633,,,
2025-01-31,,0.6225043517379943,0.061359922630766436,0.22550678750621836,0.090628938125021,,,,
2025-02-28,,,,0.22440946325038197,0.059213187052586276,0.6997182040167114,,,0.016659145680320352
2025-03-31,,,0.05167292383751277,0.11823955791553926,,0.830087518246948,,,
2025-04-30,,,,,0.027851924746833363,0.879468795841841,,,0.09267927941132573
2025-05-30,0.3557361425303557,0.1883393066498827,0.10374805938057599,,0.34879010886637823,,,,
2025-06-30,,0.8527195275237296,,,0.08574700462860378,,,,0.06153346784766654
2025-07-31,,0.7200481169024759,,0.15188515707940828,,,,,0.12806672601811583
2025-08-29,,0.5107834088616183,,0.3112717438391968,,,,0.08126478717927103,0.09668006011991387
2025-09-30,,0.6567041268982274,,,0.12770875504262846,,,,0.2155871180591442
2025-10-31,,0.6761045363753694,0.2801124310648329,,0.043783032559797666,,,,
2025-11-28,,0.21546020126540086,,,0.014555320915417428,,0.438757556767692,,0.33122692105148965
2025-12-30,,0.24196788404231417,0.5294839973954923,0.22130308957453654,,,,,
